number;date_im;date_rod;date_dat;date_tv;month_im;month_rod;month_dat;month_pred;month_short;day_of_week_im;day_of_week_rod;day_of_week_dat;day_of_week_vin;day_of_week_tv;day_of_week_short;number_of_days;number_of_weeks
1;первое;первого;первому;первым;январь;января;январю;январе;янв;понедельник;понедельника;понедельнику;понедельник;понедельником;пн;один;одну
2;второе;второго;второму;вторым;февраль;февраля;февралю;феврале;фев;вторник;вторника;вторнику;вторник;вторником;вт;два;две
3;третье;третьего;третьему;третьим;март;марта;марту;марте;мар;среда;среды;среде;среду;средой;ср;три;три
4;четвертое;четвертого;четвертому;четвертым;апрель;апреля;апрелю;апреле;апр;четверг;четверга;четвергу;четверг;четвергом;чт;четыре;четыре
5;пятое;пятого;пятому;пятым;май;мая;маю;мае;мае;пятница;пятницы;пятнице;пятницу;пятницей;пт;пять;пять
6;шестое;шестого;шестому;шестым;июнь;июня;июню;июне;июн;суббота;субботы;субботе;субботу;субботой;сб;шесть;шесть
7;седьмое;седьмого;седьмому;седьмым;июль;июля;июлю;июле;июл;воскресенье;воскресенья;воскресенью;воскресенье;воскресеньем;вс;семь;семь
8;восьмое;восьмого;восьмому;восьмым;август;августа;августу;августе;авг;;;;;;;восемь;восемь
9;девятое;девятого;девятому;девятым;сентябрь;сентября;сентябрю;сентябре;сен;;;;;;;девять;девять
10;десятое;десятого;десятому;десятым;октябрь;октября;октябрю;октябре;окт;;;;;;;десять;десять
11;одиннадцатое;одиннадцатого;одиннадцатому;одиннадцатым;ноябрь;ноября;ноябрю;ноябре;ноя;;;;;;;одиннадцать;одиннадцать
12;двенадцатое;двенадцатого;двенадцатому;двенадцатым;декабрь;декабря;декабрю;декабре;дек;;;;;;;двенадцать;двенадцать
13;тринадцатое;тринадцатого;тринадцатому;тринадцатым;;;;;;;;;;;;тринадцать;тринадцать
14;четырнадцатое;четырнадцатого;четырнадцатому;четырнадцатым;;;;;;;;;;;;четырнадцать;четырнадцать
15;пятнадцатое;пятнадцатого;пятнадцатому;пятнадцатым;;;;;;;;;;;;пятнадцать;пятнадцать
16;шестнадцатое;шестнадцатого;шестнадцатому;шестнадцатым;;;;;;;;;;;;шестнадцать;шестнадцать
17;семнадцатое;семнадцатого;семнадцатому;семнадцатым;;;;;;;;;;;;семнадцать;семнадцать
18;восемнадцатое;восемнадцатого;восемнадцатому;восемнадцатым;;;;;;;;;;;;восемнадцать;восемнадцать
19;девятнадцатое;девятнадцатого;девятнадцатому;девятнадцатым;;;;;;;;;;;;девятнадцать;девятнадцать
20;двадцатое;двадцатого;двадцатому;двадцатым;;;;;;;;;;;;двадцать;двадцать
21;двадцать первое;двадцать первого;двадцать первому;двадцать первым;;;;;;;;;;;;двадцать один;двадцать одну
22;двадцать второе;двадцать второго;двадцать второму;двадцать вторым;;;;;;;;;;;;двадцать два;двадцать две
23;двадцать третье;двадцать третьего;двадцать третьму;двадцать третьим;;;;;;;;;;;;двадцать три;двадцать три
24;двадцать четвертое;двадцать четвертого;двадцать четвертому;двадцать четвертым;;;;;;;;;;;;двадцать четыре;двадцать четыре
25;двадцать пятое;двадцать пятого;двадцать пятому;двадцать пятым;;;;;;;;;;;;двадцать пять;двадцать пять
26;двадцать шестое;двадцать шестого;двадцать шестому;двадцать шестым;;;;;;;;;;;;двадцать шесть;двадцать шесть
27;двадцать седьмое;двадцать седьмого;двадцать седьмому;двадцать седьмым;;;;;;;;;;;;двадцать семь;двадцать семь
28;двадцать восьмое;двадцать восьмого;двадцать восьмому;двадцать восьмым;;;;;;;;;;;;двадцать восемь;двадцать восемь
29;двадцать девятое;двадцать девятого;двадцать девятому;двадцать девятым;;;;;;;;;;;;двадцать девять;двадцать девять
30;тридцатое;тридцатого;тридцатому;тридцатым;;;;;;;;;;;;тридцать;тридцать
31;тридцать первое;тридцать первого;тридцать первому;тридцать первым;;;;;;;;;;;;тридцать один;тридцать одну